Date,Time,Src IP,Dst IP,Byte Size
2024-03-27,14:39:08,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:39:08,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:39:37,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:39:37,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:39:37,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:40:06,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:40:06,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:40:06,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:40:06,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:40:35,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:40:35,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:40:35,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:40:35,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:40:59,"('34.249.173.233', 443)","('10.3.141.126', 37544)",[590]
2024-03-27,14:40:59,"('34.249.173.233', 443)","('10.3.141.126', 37548)",[501]
2024-03-27,14:40:59,"('10.3.141.126', 37544)","('34.249.173.233', 443)",[690]
2024-03-27,14:40:59,"('10.3.141.126', 37544)","('34.249.173.233', 443)",[29]
2024-03-27,14:40:59,"('10.3.141.126', 37548)","('34.249.173.233', 443)",[690]
2024-03-27,14:40:59,"('10.3.141.126', 37548)","('34.249.173.233', 443)",[29]
2024-03-27,14:41:04,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:41:04,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:41:04,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:41:04,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:41:33,"('3.83.66.164', 443)","('10.3.141.106', 49326)","[28, 56]"
2024-03-27,14:41:33,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:41:33,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:41:48,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:41:48,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[504]
2024-03-27,14:42:02,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:42:02,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:42:02,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:42:02,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:42:31,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:42:31,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:42:31,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:42:31,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:43:00,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:43:00,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:43:00,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:43:00,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:43:29,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:43:29,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:43:29,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:43:58,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:43:58,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:43:58,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:44:27,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:44:27,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:44:27,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:44:27,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:44:56,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:44:56,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:44:56,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:45:25,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:45:25,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:45:25,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:45:54,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:45:54,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:45:54,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:46:01,"('34.249.173.233', 443)","('10.3.141.126', 54662)",[590]
2024-03-27,14:46:01,"('34.249.173.233', 443)","('10.3.141.126', 54674)",[501]
2024-03-27,14:46:01,"('10.3.141.126', 54662)","('34.249.173.233', 443)",[690]
2024-03-27,14:46:01,"('10.3.141.126', 54662)","('34.249.173.233', 443)",[29]
2024-03-27,14:46:02,"('10.3.141.126', 54674)","('34.249.173.233', 443)",[690]
2024-03-27,14:46:02,"('10.3.141.126', 54674)","('34.249.173.233', 443)",[29]
2024-03-27,14:46:23,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:46:23,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
