Date,Time,Src IP,Dst IP,Byte Size
2024-04-11,10:40:03,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,10:40:03,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[272]
2024-04-11,10:40:03,"('10.3.141.107', 49157)","('52.223.21.95', 443)",[176]
2024-04-11,10:40:08,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,10:40:08,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[272]
2024-04-11,10:40:08,"('10.3.141.107', 49157)","('52.223.21.95', 443)",[176]
2024-04-11,10:40:08,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[28]
2024-04-11,10:40:08,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[56]
2024-04-11,10:40:08,"('10.3.141.106', 41080)","('54.208.230.204', 443)","[28, 60]"
2024-04-11,10:40:13,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,10:40:13,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[272]
2024-04-11,10:40:13,"('10.3.141.107', 49157)","('52.223.21.95', 443)",[176]
2024-04-11,10:40:18,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,10:40:18,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[272]
2024-04-11,10:40:18,"('10.3.141.107', 49157)","('52.223.21.95', 443)",[176]
2024-04-11,10:40:23,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,10:40:23,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[272]
2024-04-11,10:40:23,"('10.3.141.107', 49157)","('52.223.21.95', 443)",[176]
2024-04-11,10:40:28,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,10:40:28,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[272]
2024-04-11,10:40:28,"('10.3.141.107', 49157)","('52.223.21.95', 443)",[176]
2024-04-11,10:40:33,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,10:40:33,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[272]
2024-04-11,10:40:33,"('10.3.141.107', 49157)","('52.223.21.95', 443)",[176]
2024-04-11,10:40:35,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[28]
2024-04-11,10:40:35,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[504]
2024-04-11,10:40:37,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[28]
2024-04-11,10:40:37,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[56]
2024-04-11,10:40:37,"('10.3.141.106', 41080)","('54.208.230.204', 443)","[28, 60]"
2024-04-11,10:40:52,"('10.3.141.228', 35008)","('13.225.63.129', 443)","[122, 1, 27]"
2024-04-11,10:40:52,"('13.225.63.129', 443)","('10.3.141.228', 35008)","[1, 53]"
2024-04-11,10:40:52,"('13.225.63.129', 443)","('10.3.141.228', 35008)",[110]
2024-04-11,10:40:52,"('10.3.141.228', 35008)","('13.225.63.129', 443)",[141]
2024-04-11,10:40:52,"('10.3.141.228', 35008)","('13.225.63.129', 443)",[496]
2024-04-11,10:40:52,"('13.225.63.129', 443)","('10.3.141.228', 35008)",[19]
2024-04-11,10:41:04,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,10:41:04,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[160]
2024-04-11,10:41:05,"('10.3.141.107', 49157)","('52.223.21.95', 443)",[176]
2024-04-11,10:41:06,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[28]
2024-04-11,10:41:06,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[56]
2024-04-11,10:41:06,"('10.3.141.106', 41080)","('54.208.230.204', 443)",[28]
2024-04-11,10:41:06,"('10.3.141.106', 41080)","('54.208.230.204', 443)",[60]
2024-04-11,10:41:08,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,10:41:08,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[144]
2024-04-11,10:41:08,"('10.3.141.107', 49157)","('52.223.21.95', 443)",[176]
2024-04-11,10:41:09,"('18.221.234.99', 443)","('10.3.141.92', 49194)",[96]
2024-04-11,10:41:09,"('10.3.141.92', 49194)","('18.221.234.99', 443)",[64]
2024-04-11,10:41:19,"('10.3.141.107', 49156)","('52.223.21.95', 443)",[176]
2024-04-11,10:41:19,"('52.223.21.95', 443)","('10.3.141.107', 49156)",[480]
2024-04-11,10:41:35,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[28]
2024-04-11,10:41:35,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[56]
2024-04-11,10:41:35,"('10.3.141.106', 41080)","('54.208.230.204', 443)",[28]
